[2022-5-16 12:1:1] method=POST path="/todos" request-duration=0.0016ms
[2022-5-16 12:1:7] method=DELETE path="/notifications/145" request-duration=0.0015ms
[2022-5-16 12:1:8] method=DELETE path="/notifications/144" request-duration=0.0016ms
[2022-5-16 12:1:9] method=DELETE path="/notifications/143" request-duration=0.0025ms
[2022-5-16 12:1:11] method=DELETE path="/notifications/142" request-duration=0.0018ms
[2022-5-16 12:1:13] method=POST path="/todos" request-duration=0.0016ms
[2022-5-16 12:1:14] method=POST path="/todos" request-duration=0.0014ms
[2022-5-16 12:1:15] method=POST path="/todos" request-duration=0.0015ms
[2022-5-16 12:1:16] method=POST path="/todos" request-duration=0.0014ms
[2022-5-16 12:1:23] method=PUT path="/todos/116" request-duration=0.0012ms
[2022-5-16 12:1:25] method=PUT path="/todos/116" request-duration=0.0015ms
[2022-5-16 12:1:35] method=PUT path="/todos" request-duration=0.0017ms
[2022-5-16 12:1:36] method=PUT path="/todos" request-duration=0.0017ms
[2022-5-16 12:1:38] method=PUT path="/todos" request-duration=0.0014ms
[2022-5-16 12:1:39] method=PUT path="/todos" request-duration=0.0022ms
[2022-5-16 12:2:2] method=GET path="/refresh" request-duration=0.0026ms
[2022-5-16 12:2:2] method=GET path="/refresh" request-duration=0.0015ms
[2022-5-16 12:8:2] method=GET path="/refresh" request-duration=0.003ms
[2022-5-16 12:8:2] method=GET path="/refresh" request-duration=0.0038ms
[2022-5-16 12:8:25] method=GET path="/refresh" request-duration=0.0026ms
[2022-5-16 12:8:25] method=GET path="/refresh" request-duration=0.0021ms
[2022-5-16 12:8:25] method=GET path="/refresh" request-duration=0.0012ms
[2022-5-16 12:8:25] method=GET path="/refresh" request-duration=0.0024ms
[2022-5-16 12:8:53] method=GET path="/refresh" request-duration=0.0021ms
[2022-5-16 12:8:54] method=GET path="/refresh" request-duration=0.0048ms
[2022-5-16 12:8:59] method=GET path="/refresh" request-duration=0.0021ms
[2022-5-16 12:8:59] method=GET path="/refresh" request-duration=0.0022ms
[2022-5-16 12:9:1] method=GET path="/refresh" request-duration=0.0016ms
[2022-5-16 12:9:1] method=GET path="/refresh" request-duration=0.004ms
[2022-5-16 12:9:2] method=GET path="/refresh" request-duration=0.0047ms
[2022-5-16 12:9:2] method=GET path="/refresh" request-duration=0.0029ms
[2022-5-16 12:9:6] method=GET path="/refresh" request-duration=0.002ms
[2022-5-16 12:9:6] method=GET path="/refresh" request-duration=0.0036ms
[2022-5-16 12:9:12] method=GET path="/refresh" request-duration=0.0021ms
[2022-5-16 12:9:12] method=GET path="/refresh" request-duration=0.0051ms
[2022-5-16 12:9:16] method=GET path="/refresh" request-duration=0.0023ms
[2022-5-16 12:9:16] method=GET path="/refresh" request-duration=0.0016ms
[2022-5-16 12:9:41] method=GET path="/refresh" request-duration=0.0018ms
[2022-5-16 12:9:41] method=GET path="/refresh" request-duration=0.0014ms
[2022-5-16 12:9:43] method=GET path="/refresh" request-duration=0.0018ms
[2022-5-16 12:9:43] method=GET path="/refresh" request-duration=0.002ms
[2022-5-16 12:9:48] method=GET path="/refresh" request-duration=0.0043ms
[2022-5-16 12:9:48] method=GET path="/refresh" request-duration=0.0065ms
[2022-5-16 12:9:53] method=GET path="/refresh" request-duration=0.0016ms
[2022-5-16 12:9:53] method=GET path="/refresh" request-duration=0.0022ms
[2022-5-16 12:9:55] method=GET path="/refresh" request-duration=0.002ms
[2022-5-16 12:9:56] method=GET path="/refresh" request-duration=0.0048ms
[2022-5-16 12:10:6] method=GET path="/refresh" request-duration=0.0019ms
[2022-5-16 12:10:6] method=GET path="/refresh" request-duration=0.0026ms
[2022-5-16 12:10:10] method=GET path="/refresh" request-duration=0.002ms
[2022-5-16 12:10:10] method=GET path="/refresh" request-duration=0.004ms
[2022-5-16 12:10:11] method=GET path="/refresh" request-duration=0.0016ms
[2022-5-16 12:10:11] method=GET path="/refresh" request-duration=0.0041ms
[2022-5-16 12:10:21] method=GET path="/refresh" request-duration=0.0016ms
[2022-5-16 12:10:21] method=GET path="/refresh" request-duration=0.0024ms
[2022-5-16 12:10:40] method=GET path="/refresh" request-duration=0.0037ms
